State,Value
  XOX   O,1.0
  XOX  O ,1.0
  XOX  XO,1.0
  XOX O  ,1.0
  XOX O X,-1.0
  XOX OOX,1.0
  XOX OX ,-1.0
  XOX OXO,1.0
  XOX X O,1.0
  XOX XO ,1.0
  XOXO   ,1.0
  XOXO  X,1.0
  XOXO OX,1.0
  XOXO X ,1.0
  XOXO XO,1.0
  XOXOO X,1.0
  XOXOOX ,1.0
  XOXOOXX,-1.0
  XOXOX  ,1.0
  XOXOXOX,1.0
  XOXOXXO,1.0
  XOXX  O,-1.0
  XOXX O ,0.0
  XOXX OO,1.0
  XOXXO  ,-1.0
  XOXXO O,-1.0
  XOXXOO ,1.0
  XOXXOOX,1.0
  XOXXOXO,-1.0
  XOXXXOO,1.0
  XX    O,0.0
  XX   O ,0.0
  XX   OO,0.0
  XX  O  ,0.0
  XX  O O,0.0
  XX  OO ,1.0
  XX  OOX,1.0
  XX  OXO,0.0
  XX  XOO,0.0
  XX O   ,0.0
  XX O  O,1.0
  XX O O ,1.0
  XX O OX,0.0
  XX O XO,1.0
  XX OO  ,0.0
  XX OO X,0.0
  XX OOOX,1.0
  XX OOX ,0.0
  XX OOXO,1.0
  XX OX O,1.0
  XX OXO ,1.0
  XX OXOO,1.0
  XX X OO,-1.0
  XX XO O,-1.0
  XX XOO ,-1.0
  XX XOOO,-1.0
  XXO    ,0.0
  XXO   O,1.0
  XXO  O ,0.0
  XXO  OX,-1.0
  XXO  XO,-1.0
  XXO O  ,0.0
  XXO O X,0.0
  XXO OOX,1.0
  XXO OX ,0.0
  XXO OXO,0.0
  XXO X O,-1.0
  XXO XO ,-1.0
  XXO XOO,1.0
  XXOO   ,1.0
  XXOO  X,0.0
  XXOO OX,0.0
  XXOO X ,0.0
  XXOO XO,1.0
  XXOOO X,0.0
  XXOOOX ,0.0
  XXOOOXX,0.0
  XXOOX  ,0.0
  XXOOX O,1.0
  XXOOXO ,1.0
  XXOOXOX,-1.0
  XXOOXXO,-1.0
  XXOX  O,-1.0
  XXOX O ,-1.0
  XXOX OO,0.0
  XXOXO  ,-1.0
  XXOXO O,-1.0
  XXOXOO ,1.0
  XXOXOOX,1.0
  XXOXOXO,-1.0
  XXOXXOO,-1.0
  XXX  OO,-1.0
  XXX O O,-1.0
  XXX OO ,-1.0
  XXX OOO,-1.0
  XXXO  O,0.0
  XXXO O ,0.0
  XXXO OO,1.0
  XXXOO  ,0.0
  XXXOO O,0.0
  XXXOOO ,0.0
  XXXOOOX,0.0
  XXXOOXO,0.0
  XXXOXOO,1.0
 O      X,1.0
 O     X ,0.0
 O     XX,0.0
 O    OXX,0.0
 O    X  ,1.0
 O    X X,1.0
 O    XOX,1.0
 O    XX ,0.0
 O    XXO,0.0
 O   O XX,1.0
 O   OX X,1.0
 O   OXX ,1.0
 O   OXXX,1.0
 O   X   ,1.0
 O   X  X,0.0
 O   X OX,1.0
 O   X X ,0.0
 O   X XO,0.0
 O   XO X,1.0
 O   XOX ,0.0
 O   XOXX,-1.0
 O   XX  ,0.0
 O   XX O,1.0
 O   XXO ,0.0
 O   XXOX,-1.0
 O   XXXO,-1.0
 O  O  XX,1.0
 O  O X X,1.0
 O  O XX ,1.0
 O  O XXX,1.0
 O  OX  X,1.0
 O  OX X ,1.0
 O  OX XX,1.0
 O  OXOXX,1.0
 O  OXX  ,0.0
 O  OXX X,-1.0
 O  OXXOX,-1.0
 O  OXXX ,0.0
 O  OXXXO,0.0
 O  X    ,1.0
 O  X   X,0.0
 O  X  OX,1.0
 O  X  X ,0.0
 O  X  XO,0.0
 O  X O X,1.0
 O  X OX ,0.0
 O  X OXX,-1.0
 O  X X  ,1.0
 O  X X O,1.0
 O  X XO ,1.0
 O  X XOX,1.0
 O  X XXO,-1.0
 O  XO  X,1.0
 O  XO X ,1.0
 O  XO XX,1.0
 O  XOOXX,1.0
 O  XOX  ,1.0
 O  XOX X,0.0
 O  XOXOX,1.0
 O  XOXX ,0.0
 O  XOXXO,1.0
 O  XX   ,1.0
 O  XX  O,1.0
 O  XX O ,1.0
 O  XX XO,0.0
 O  XXO  ,1.0
 O  XXO X,0.0
 O  XXOX ,0.0
 O  XXOXO,1.0
 O  XXX O,1.0
 O  XXXO ,0.0
 O  XXXOO,1.0
 O O   XX,1.0
 O O  X X,1.0
 O O  XX ,1.0
 O O  XXX,1.0
 O O X  X,1.0
 O O X X ,1.0
 O O X XX,1.0
 O O XOXX,1.0
 O O XX  ,1.0
 O O XX X,0.0
 O O XXOX,1.0
 O O XXX ,0.0
 O O XXXO,0.0
 O OOX XX,1.0
 O OOXX X,1.0
 O OOXXX ,1.0
 O OOXXXX,1.0
 O OX   X,1.0
 O OX  X ,1.0
 O OX  XX,1.0
 O OX OXX,1.0
 O OX X  ,1.0
 O OX X X,1.0
 O OX XOX,1.0
 O OX XX ,0.0
 O OX XXO,1.0
 O OXO XX,1.0
 O OXOX X,1.0
 O OXOXX ,1.0
 O OXX   ,1.0
 O OXX  X,1.0
 O OXX OX,1.0
 O OXX X ,0.0
 O OXX XO,0.0
 O OXXO X,1.0
 O OXXOX ,0.0
 O OXXOXX,-1.0
 O OXXX  ,0.0
 O OXXX O,1.0
 O OXXXO ,0.0
 O OXXXOX,1.0
 O OXXXXO,0.0
 O X     ,1.0
 O X    X,0.0
 O X   OX,0.0
 O X   X ,0.0
 O X   XO,0.0
 O X  O X,1.0
 O X  OX ,0.0
 O X  OXX,-1.0
 O X  X  ,0.0
 O X  X O,1.0
 O X  XO ,1.0
 O X  XOX,-1.0
 O X  XXO,-1.0
 O X O  X,1.0
 O X O X ,1.0
 O X O XX,0.0
 O X OOXX,0.0
 O X OX  ,1.0
 O X OX X,1.0
 O X OXOX,1.0
 O X OXX ,1.0
 O X OXXO,1.0
 O X X   ,-1.0
 O X X  O,1.0
 O X X O ,1.0
 O X X OX,-1.0
 O X X XO,0.0
 O X XO  ,1.0
 O X XO X,0.0
 O X XOOX,1.0
 O X XOX ,0.0
 O X XOXO,1.0
 O X XX O,0.0
 O X XXO ,-1.0
 O X XXOO,0.0
 O XO   X,0.0
 O XO  X ,1.0
 O XO  XX,0.0
 O XO OXX,0.0
 O XO X  ,1.0
 O XO X X,-1.0
 O XO XOX,-1.0
 O XO XX ,1.0
 O XO XXO,1.0
 O XOO XX,1.0
 O XOOX X,1.0
 O XOOXX ,1.0
 O XOOXXX,1.0
 O XOX   ,-1.0
 O XOX  X,-1.0
 O XOX OX,-1.0
 O XOX X ,-1.0
 O XOX XO,0.0
 O XOXO X,1.0
 O XOXOX ,0.0
 O XOXOXX,-1.0
 O XOXX  ,-1.0
 O XOXX O,1.0
 O XOXXO ,-1.0
 O XOXXXO,-1.0
 O XX    ,1.0
 O XX   O,1.0
 O XX  O ,1.0
 O XX  OX,0.0
 O XX  XO,0.0
 O XX O  ,1.0
 O XX O X,1.0
 O XX OOX,1.0
 O XX OX ,0.0
 O XX OXO,1.0
 O XX X O,0.0
 O XX XO ,0.0
 O XXO   ,1.0
 O XXO  X,0.0
 O XXO OX,1.0
 O XXO X ,0.0
 O XXO XO,0.0
 O XXOO X,1.0
 O XXOOX ,0.0
 O XXOOXX,0.0
 O XXOX  ,0.0
 O XXOX O,0.0
 O XXOXO ,1.0
 O XXOXOX,0.0
 O XXOXXO,-1.0
 O XXX  O,1.0
 O XXX O ,1.0
 O XXXO  ,1.0
 O XXXOXO,1.0
 O XXXXOO,1.0
 OO    XX,1.0
 OO   X X,1.0
 OO   XX ,1.0
 OO   XXX,1.0
 OO  X  X,0.0
 OO  X X ,1.0
 OO  X XX,-1.0
 OO  XOXX,-1.0
 OO  XX  ,1.0
 OO  XX X,-1.0
 OO  XXOX,-1.0
 OO  XXX ,-1.0
